Index,Position,High Score,High Rebound,High Assist,High Steal,High Free Throws,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Assists,Rebound,Height,Weight,Country,Previous Team,Birthdate,Total Awards,Draft Year,Draft Round,Draft Pick
627,6,0,0,0,0,0,0,0,49,310,False,6.3,1.7,1.6,1.91,86.0,72,314,1989,0,-1,-1,-1
629,1,27,18,4,2,11,0,10,418,4822,False,11.5,1.2,7.7,2.13,129.0,72,516,1987,4,2005,1,10
630,6,22,4,5,2,5,1,1,360,2921,False,8.1,3.3,1.6,1.83,84.0,72,220,1983,0,-1,-1,-1
631,3,2,0,1,0,2,0,0,263,1495,False,5.7,1.6,2.2,2.01,98.0,72,539,1956,0,1978,1,19
632,6,12,0,0,0,4,0,0,265,1712,False,6.5,1.2,1.5,1.91,79.0,72,479,1923,0,-1,-1,-1
633,3,0,0,0,0,0,0,0,60,210,False,3.5,0.5,0.0,1.85,77.0,72,298,1922,0,-1,-1,-1
634,4,0,0,0,0,0,0,0,150,640,False,4.3,0.6,2.1,2.11,104.0,58,74,1981,0,2003,1,17
635,3,14,0,2,0,3,0,0,362,2372,False,6.6,1.0,5.2,2.01,79.0,72,63,1935,0,1958,2,10
636,0,2,2,0,1,0,0,0,105,442,False,4.2,0.7,2.6,2.06,99.0,9,436,1995,0,2014,1,20
637,3,0,0,0,0,0,0,0,36,91,False,2.5,0.2,2.2,2.01,109.0,72,385,1996,0,-1,-1,-1
638,3,13,11,4,1,8,0,2,462,3368,False,7.3,0.9,4.4,2.03,116.0,72,5,1973,0,1995,1,20
639,0,16,14,2,3,5,0,5,1140,8278,False,7.3,0.9,7.6,2.06,102.0,72,470,1962,0,1984,1,14
640,3,0,0,0,0,0,0,0,18,98,False,5.4,0.7,2.9,1.98,87.0,72,403,1999,0,-1,-1,-1
