Index,Position,High Score,High Rebound,High Assist,High Steal,High Field Goals,High Free Throws,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Assists,Rebound,Height,Weight,Country,Previous Team,Birthdate,Experience,Total Awards,Draft Year,Draft Round,Draft Pick
53,6,2,0,0,0,1,0,0,0,15,9,FALSE,0.6,0.4,0.7,1.91,88,72,136,1998,2,0,-1,-1,-1
54,3,4,4,1,2,2,1,0,0,286,2542,FALSE,8.9,0.9,4.8,2.08,120,72,263,1969,5,0,1991,1,17
55,6,14,4,3,1,5,1,3,1,217,1830,FALSE,6.2,1.8,1.7,1.96,93,13,599,1998,3,0,2019,1,17
56,6,12,3,4,1,4,2,3,0,169,744,FALSE,4.4,1,0.9,1.88,83,72,256,1964,4,1,1987,2,26
57,6,0,0,0,0,0,0,0,0,10,37,FALSE,3.7,1.3,2.6,1.96,102,72,19,1997,2,0,-1,-1,-1
58,3,4,0,0,0,0,4,0,0,27,48,FALSE,1.8,0.4,2.1,2.06,93,72,315,1946,1,0,1968,6,71
59,6,27,6,5,3,10,5,6,1,264,2556,FALSE,10.4,2.3,3.3,1.93,90,72,163,1995,4,0,2018,1,21
60,1,21,17,5,3,7,7,0,3,409,4914,FALSE,14.3,1.7,9.8,2.06,110,72,549,1998,5,1,2017,1,22
61,6,0,0,0,0,0,0,0,0,117,336,FALSE,2.9,1.7,1.1,1.93,83,72,427,1973,2,0,1995,2,49
62,0,0,0,0,0,0,0,0,0,47,258,FALSE,5.5,2.3,1.5,1.85,91,72,19,1993,3,0,2017,2,53
63,4,12,10,2,2,6,2,0,2,388,1847,FALSE,4.8,1,4.8,2.06,118,72,543,1989,7,0,2011,2,50
64,6,25,9,8,3,10,10,0,1,702,9407,FALSE,13.4,4.5,3.1,1.88,79,72,577,1947,10,0,1969,1,3
65,3,13,8,3,2,6,2,0,2,478,2334,FALSE,4.9,0.5,2.8,2.08,116,72,595,1978,11,0,-1,-1,-1
66,3,0,0,0,0,0,0,0,0,70,252,FALSE,3.6,0.3,2.1,2.03,100,72,200,1965,2,0,-1,-1,-1
67,6,51,11,10,5,18,11,9,2,1300,24505,TRUE,18.9,3.4,4.1,1.96,93,72,133,1975,18,13,1996,1,5
68,0,19,13,6,5,8,9,1,3,820,6654,FALSE,8.1,1.3,3.5,1.93,97,72,410,1982,14,6,2004,1,25
69,3,0,0,0,0,0,0,0,0,36,67,FALSE,1.9,0.3,1.3,1.98,88,72,578,1949,1,0,1971,5,76
71,3,0,0,0,0,0,0,0,0,22,59,FALSE,2.7,1.1,3,2.03,100,72,577,1958,1,0,1980,5,103
72,6,0,0,0,0,0,0,0,0,38,119,FALSE,3.1,0.3,1.2,1.98,102,72,456,1985,4,0,2007,1,25
73,0,0,0,0,0,0,0,0,0,139,751,FALSE,5.4,0.7,3.8,2.11,102,72,164,1972,3,0,1994,2,33
74,6,26,11,10,4,10,5,6,2,671,6799,FALSE,10.1,4.8,2.8,1.88,79,72,209,1976,11,0,1998,2,39
76,6,12,3,4,2,4,4,2,1,115,880,FALSE,9,3,2.3,1.83,81,72,220,1998,1,0,-1,-1,-1
77,4,5,2,2,2,2,3,0,2,294,1837,FALSE,6.2,0.8,2.6,2.08,122,74,426,1970,6,0,-1,-1,-1
78,0,0,0,0,0,0,0,0,0,85,379,FALSE,4.5,0.4,4.2,2.03,104,72,502,1971,2,0,-1,-1,-1
79,3,30,15,4,5,11,7,6,3,711,5350,FALSE,7.5,1.2,6,2.03,100,72,605,1990,12,1,2010,1,8
80,3,7,7,1,2,3,3,0,2,428,1564,FALSE,3.7,0.4,3.6,2.06,100,72,578,1982,11,0,-1,-1,-1
81,3,0,0,0,0,0,0,0,0,33,133,FALSE,4,0.9,2.1,1.91,91,72,331,1937,1,0,1959,3,20
82,0,16,14,2,3,7,7,0,6,695,3755,FALSE,5.4,0.5,5,2.08,111,72,57,1978,15,0,-1,-1,-1
