Index,Position,High Score,High Rebound,High Assist,High Steal,High Field Goals,High Free Throws,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Assists,Rebound,Height,Weight,Country,Previous Team,Birthdate,Experience,Total Awards,Draft Year,Draft Round,Draft Pick
1330,3,3,2,1,1,1,2,0,0,20,40,FALSE,2,0.4,1.5,2.01,98,72,19,1954,1,0,1976,2,30
1331,6,15,0,2,0,5,5,0,0,292,2511,FALSE,8.6,1.9,5.2,1.91,86,72,376,1933,5,0,1955,3,16
1332,6,19,11,8,3,9,9,1,1,893,10125,FALSE,11.3,4.8,3.4,1.96,84,72,217,1962,12,2,1984,1,18
1333,6,0,0,0,0,0,0,0,0,16,35,FALSE,2.2,0.7,0.2,1.88,88,72,312,1981,2,0,2004,2,55
1334,3,0,0,0,0,0,0,0,0,53,261,FALSE,4.9,0.9,3.4,2.03,102,72,401,1957,1,0,1979,2,26
1335,6,51,8,18,4,18,13,3,1,957,12260,FALSE,12.8,5.4,2.6,1.91,77,72,216,1960,13,1,1982,1,13
1336,6,0,0,0,0,0,0,0,0,163,1504,FALSE,9.2,3.9,1.9,1.83,84,72,539,1989,4,1,2009,1,6
1337,6,0,1,2,1,0,0,0,0,144,788,FALSE,4.6,1.3,1.4,1.85,79,72,470,1998,2,1,2020,1,29
1338,6,0,0,0,0,0,0,0,0,144,896,FALSE,6.2,2.2,2.1,1.88,82,72,274,1953,2,0,1975,7,113
1340,3,0,0,0,0,0,0,0,0,11,53,FALSE,4.8,0.5,1.5,1.91,77,72,240,1939,1,0,1962,2,16
1342,6,3,0,0,0,1,1,0,0,35,134,FALSE,3.8,0.6,0.4,1.93,86,72,318,1948,1,0,1970,5,70
1343,3,0,0,0,0,0,0,0,0,52,328,FALSE,6.3,0.8,1.7,2.01,95,36,41,1995,0,0,-1,-1,-1
1345,0,22,6,4,1,8,5,7,1,431,3776,FALSE,3.6,0.7,0.6,1.88,93,72,331,1993,6,0,-1,-1,-1
1346,3,0,1,0,0,0,0,0,0,111,645,FALSE,5.8,0.9,2,2.01,100,49,319,1985,3,0,-1,-1,-1
1348,3,0,0,0,0,0,0,0,0,11,35,FALSE,3.2,0.9,1.8,1.85,86,72,342,1971,2,0,1993,2,32
1351,3,14,14,6,6,6,6,0,2,474,3016,FALSE,6.4,1.4,3.6,2.06,98,72,95,1952,7,0,1975,6,92
1352,6,0,0,0,0,0,0,0,0,31,126,FALSE,4.1,1.1,0.6,1.91,82,72,318,1946,2,0,1970,2,20
1353,6,20,4,13,4,7,5,2,0,482,5594,FALSE,11.6,6.4,1.8,1.88,79,72,380,1956,7,7,1978,1,2
1355,3,0,0,0,0,0,0,0,0,28,90,FALSE,3.2,0.2,0.9,2.01,95,72,254,1972,1,0,1995,1,26
1356,0,27,7,15,3,11,6,2,1,429,4797,FALSE,11.2,5.8,3.1,1.83,75,72,557,1983,8,2,2003,1,8
1357,6,5,0,0,0,2,3,0,0,44,179,FALSE,4.1,1.7,0,1.78,79,72,374,1926,1,0,-1,-1,-1
1358,1,6,7,3,4,3,1,0,1,139,569,FALSE,4.1,2.1,4.1,2.08,107,72,226,1954,2,0,1976,2,19
1359,6,4,0,0,0,2,0,0,0,113,335,FALSE,2.3,1.7,1.6,1.93,95,72,200,1998,2,0,-1,-1,-1
1360,6,0,0,0,0,0,0,0,0,25,30,FALSE,1.2,0.7,0.7,1.93,88,72,380,1981,3,0,2001,1,21
1361,6,0,0,0,0,0,0,0,0,10,35,FALSE,3.5,1,1.5,1.8,84,72,21,1988,2,0,-1,-1,-1
1362,2,8,9,0,1,3,3,0,1,440,3615,FALSE,8.2,0.7,7.2,2.03,118,72,119,1976,10,0,1997,1,10
1363,3,7,0,4,0,3,1,0,0,523,4093,FALSE,7.8,1.1,2.4,1.96,95,72,329,1946,8,0,1968,3,28
1364,1,17,6,2,1,6,6,1,2,656,2538,FALSE,3.9,0.5,2.6,2.11,113,72,558,1968,13,0,1990,2,35
1365,4,20,20,4,3,9,3,1,4,764,3747,FALSE,4.9,0.9,6.9,2.11,113,72,505,1977,13,0,1999,1,21
1366,6,10,2,3,2,3,4,0,1,207,1562,FALSE,7.5,2.3,1.2,1.85,73,72,577,1960,3,0,1983,2,28
1368,3,0,0,0,0,0,0,0,0,28,108,FALSE,3.9,0.4,2.2,2.08,99,30,421,1981,1,0,2001,2,47
1369,7,19,8,5,3,8,5,4,2,672,9387,FALSE,6.1,1.3,1.8,1.98,93,26,438,1992,10,0,2012,1,20
1370,1,30,0,3,0,11,12,0,0,817,11198,FALSE,13.7,1.7,9.8,2.06,98,72,281,1928,12,2,1950,1,5
1372,0,0,0,0,0,0,0,0,0,103,301,FALSE,2.9,0.5,2.2,2.03,100,72,209,1976,4,0,1998,2,54
1373,6,38,9,11,4,14,8,4,1,395,7974,FALSE,25,6.1,4.2,1.91,84,72,274,1997,5,3,2017,1,5
1374,6,0,0,0,0,0,0,0,0,10,31,FALSE,3.1,1,0.8,1.88,79,72,265,1949,1,0,1972,2,15
1375,1,17,0,4,0,8,5,0,1,743,6945,FALSE,9.3,1.6,7.4,2.08,104,72,488,1943,10,0,1965,8,67
1376,3,24,14,10,5,8,7,5,3,930,8966,FALSE,9.6,2.8,3.8,2.01,107,13,380,1969,14,1,1991,1,24
1377,6,16,4,4,3,6,4,4,1,752,7729,FALSE,10.3,2.8,2.2,1.93,99,72,595,1983,12,2,2006,1,7
1378,1,2,1,0,0,1,0,0,0,733,2989,FALSE,4.1,0.5,4.7,2.08,122,63,126,1975,13,0,1997,1,8
1379,0,0,0,0,0,0,0,0,0,140,502,FALSE,3.6,0.6,1.2,1.96,92,72,222,1977,4,0,-1,-1,-1
1380,6,27,10,12,3,7,9,4,1,576,10446,FALSE,18.1,6,5.6,1.91,95,72,317,1977,10,9,1999,1,2
1381,3,0,0,0,0,0,0,0,0,264,1710,FALSE,6.5,1,3.9,2.08,102,72,625,1965,5,0,1987,1,14
1383,6,1,1,0,0,0,1,0,0,24,42,FALSE,1.8,0.4,1,1.96,87,72,470,1991,3,0,2013,2,41
1385,0,7,3,2,1,3,2,2,0,289,1412,FALSE,4.9,4,2.3,1.83,77,72,426,1990,8,0,-1,-1,-1
1386,6,38,0,19,4,16,12,0,0,825,15581,TRUE,18.9,6.1,5.9,1.93,91,72,502,1945,13,16,1967,1,5
1388,6,3,2,1,0,1,0,1,0,13,27,FALSE,2.1,0.2,0.8,1.91,91,72,196,1994,2,0,-1,-1,-1
1389,7,4,3,0,1,2,1,0,0,32,87,FALSE,2.7,0.2,0.9,1.96,98,72,573,1996,4,0,2018,2,35
1390,3,0,0,0,0,0,0,0,0,147,718,FALSE,4.9,0.9,1.9,2.01,93,72,429,1964,3,0,1986,6,133
1391,6,0,0,0,0,0,0,0,0,241,1438,FALSE,6,1.4,1,1.88,88,72,67,1989,7,0,2011,1,10
1392,6,32,4,9,2,13,11,0,2,886,17955,FALSE,20.3,3.7,2.7,1.91,84,72,228,1953,13,2,1975,2,23
1393,0,28,18,4,3,12,8,1,3,748,8349,FALSE,11.2,0.9,7.8,2.08,113,70,193,1992,11,0,2011,1,3
1394,2,1,2,1,1,0,1,0,1,151,477,FALSE,3.2,0.4,3.4,2.08,102,74,311,1987,3,1,2006,1,30
1395,6,0,0,0,0,0,0,0,0,64,689,FALSE,10.8,2.7,2.8,1.91,84,72,251,1944,1,0,1966,3,29
1396,3,0,0,0,0,0,0,0,0,52,167,FALSE,3.2,0.7,2,2.06,95,72,416,1948,1,0,1970,1,16
1397,3,0,0,0,0,0,0,0,0,35,106,FALSE,3,0.4,1.5,2.01,102,72,589,1950,1,0,1973,11,166
1398,0,0,0,0,0,0,0,0,0,42,133,FALSE,3.2,0.6,2,2.06,113,72,589,1981,3,0,2004,2,53
1399,3,6,0,0,0,2,2,0,0,23,88,FALSE,3.8,0.6,0,1.88,88,72,298,1921,1,0,-1,-1,-1
1400,6,0,0,0,0,0,0,0,0,44,175,FALSE,4,1.1,2.4,1.93,84,72,84,1935,1,0,1957,2,13
1401,6,0,0,0,0,0,0,0,0,48,123,FALSE,2.6,1.1,0.9,1.93,88,72,129,1945,1,0,1968,3,27
1402,1,0,0,0,0,0,0,0,0,84,326,FALSE,3.9,0.9,3,2.03,95,72,229,1931,2,0,1953,1,7
1403,4,27,13,4,3,10,3,7,2,890,7786,FALSE,8.7,1,4.5,2.13,116,72,19,1983,14,2,2005,1,8
1404,6,0,0,0,0,0,0,0,0,111,686,FALSE,6.2,3,1.8,1.91,84,72,67,1949,2,0,1972,7,109
1405,3,0,0,0,0,0,0,0,0,28,140,FALSE,5,0.3,0,1.88,79,72,298,1920,1,0,-1,-1,-1
1406,6,5,0,0,0,2,3,0,0,42,109,FALSE,2.6,0.4,0,1.83,77,72,439,1918,1,0,-1,-1,-1
1407,3,37,0,2,0,13,14,0,0,489,8003,TRUE,16.4,1.2,5.3,1.96,86,72,361,1921,8,5,-1,-1,-1
1410,6,0,0,0,0,0,0,0,0,15,60,FALSE,4,1.9,2.8,1.93,82,72,429,1958,1,0,1980,5,93
1411,6,15,5,7,2,6,3,2,1,191,2260,FALSE,14,5.7,3.9,1.93,95,72,607,1998,5,0,2017,1,1
1412,3,8,6,1,3,4,2,0,2,318,2031,FALSE,6.4,0.6,3.6,2.06,104,72,405,1970,8,0,1994,2,51
1413,6,21,3,6,0,9,6,0,0,239,2550,FALSE,10.7,2.4,2.1,1.96,86,72,331,1954,4,0,1976,1,12
1414,6,17,0,6,0,6,7,0,0,307,2997,FALSE,9.8,2,1.8,1.8,77,72,539,1922,6,0,1948,-1,-1
1415,3,10,5,3,2,4,1,1,2,145,648,FALSE,5.5,0.5,4.2,2.06,93,61,274,1997,3,0,-1,-1,-1
1416,1,13,10,2,1,6,1,0,2,527,2465,FALSE,4.7,0.4,4.4,2.11,109,45,577,1978,11,0,2002,2,33
1418,4,16,7,2,2,6,5,0,5,247,1982,FALSE,9,1.1,5.6,2.08,106,72,21,1998,3,0,2019,2,38
1421,6,0,1,1,0,0,0,0,0,80,248,FALSE,3.1,3.1,0.9,1.91,88,72,308,1965,5,0,1988,3,65
1422,0,0,0,0,0,0,0,0,0,71,123,FALSE,1.7,0.7,0.7,1.98,93,72,304,1981,3,0,2003,1,15
1423,6,7,2,0,0,3,0,1,0,113,508,FALSE,4.5,1.8,1.5,1.85,91,72,217,1986,4,0,-1,-1,-1
1424,6,18,3,9,4,8,2,1,2,453,3372,FALSE,7.4,4.3,2.5,1.93,84,72,182,1950,6,0,1971,3,47
1426,3,23,0,5,0,9,13,0,0,682,8843,TRUE,13,1.8,11.9,1.98,95,72,572,1927,10,3,1948,-1,-1
1427,3,29,9,7,3,11,9,5,1,728,11327,FALSE,11.7,1.5,4.7,2.08,107,36,412,1988,13,0,2008,1,6
1428,0,10,7,3,2,4,0,3,2,452,3656,FALSE,8.1,1.6,2.4,1.85,91,72,517,1991,9,1,-1,-1,-1
1429,3,25,0,4,0,6,13,0,0,750,7935,FALSE,10.6,1,5.2,1.98,98,72,416,1937,12,0,1958,1,6
1430,0,22,8,6,3,10,4,3,2,649,6154,FALSE,9.5,2,2.2,1.96,95,72,262,1965,10,0,1987,3,63
1431,3,2,0,0,0,1,0,0,0,23,71,FALSE,3.1,0.2,0,1.93,93,72,163,1922,1,0,-1,-1,-1
1432,0,0,0,0,0,0,0,0,0,74,589,FALSE,8,1.7,4.7,2.06,111,62,311,1977,2,5,-1,-1,-1
1434,0,0,0,0,0,0,0,0,0,10,47,FALSE,4.7,1.8,1.5,1.91,88,9,455,1980,2,1,-1,-1,-1
1435,0,18,6,5,2,7,3,5,3,549,4323,FALSE,7.9,1.4,2.6,2.01,98,22,304,1981,10,0,2005,1,23
1436,3,2,0,0,0,1,2,0,0,50,89,FALSE,1.8,0.4,0,1.91,88,72,149,1923,1,0,1948,-1,-1
1437,6,12,2,2,1,4,1,3,0,20,45,FALSE,2.3,0.2,0.6,1.96,102,72,343,1985,3,0,-1,-1,-1
1438,1,19,0,2,0,9,6,0,0,151,1339,FALSE,8.9,1.6,4,1.96,91,72,583,1925,3,0,1949,1,5
1439,6,10,0,0,0,3,6,0,0,92,476,FALSE,5.2,1.5,0,1.83,86,72,515,1918,3,0,-1,-1,-1
1441,6,32,3,10,4,9,10,6,1,250,4632,FALSE,21.6,7.8,2.7,1.85,87,72,589,2000,3,1,2019,1,5
1442,6,0,0,0,0,0,0,0,0,78,334,FALSE,4.3,1.9,1.8,1.93,82,72,148,1957,1,0,1979,2,30
1443,6,18,7,9,4,6,6,1,2,511,4799,FALSE,9.4,4.7,2.8,1.88,77,72,344,1964,7,0,1987,2,40
1444,6,22,0,3,0,10,14,0,0,421,5597,FALSE,13.3,2.6,4.2,1.91,91,72,338,1932,6,1,1955,-1,-1
1445,6,0,0,0,0,0,0,0,0,46,72,FALSE,1.6,1.4,0.8,1.78,71,72,324,1975,3,0,-1,-1,-1
1446,3,14,7,2,0,7,4,1,1,300,1638,FALSE,5.5,1.3,4.3,2.06,102,72,647,1960,4,0,1982,1,4
1447,3,35,22,11,6,15,13,1,6,1462,26071,TRUE,17.8,3.7,10,2.11,109,72,191,1976,22,57,1995,1,5
1448,0,0,0,0,0,0,0,0,0,24,51,FALSE,2.1,0.8,0.9,1.88,84,72,474,1975,1,0,-1,-1,-1
1450,3,8,3,3,3,3,4,0,1,166,855,FALSE,5.2,1.5,2.6,2.01,86,72,414,1956,4,0,1979,3,47
1451,1,26,15,3,2,11,4,0,2,359,1737,FALSE,4.8,0.6,5,2.11,113,72,256,1966,6,0,1988,2,38
1452,6,0,0,0,0,0,0,0,0,90,288,FALSE,3.2,1.7,1.2,1.93,86,72,263,1988,2,0,-1,-1,-1
1453,6,24,1,7,1,11,7,0,0,339,3475,FALSE,10.3,2.5,3,1.91,84,72,502,1947,5,1,1969,2,27
1454,0,0,0,0,0,0,0,0,0,12,13,FALSE,1.1,0.6,1.9,1.96,93,72,271,1998,2,0,-1,-1,-1
1455,3,8,3,1,1,4,2,0,1,263,1337,FALSE,5.1,0.4,2.3,1.98,95,72,200,1950,5,0,1972,5,78
1456,6,0,0,0,0,0,0,0,0,251,1359,FALSE,5.4,3.4,2,1.88,84,72,454,1966,4,0,1988,2,45
1457,3,0,0,0,0,0,0,0,0,33,131,FALSE,4,0.3,2.3,2.03,93,72,60,1959,1,0,1983,2,27
1458,6,0,0,0,0,0,0,0,0,31,72,FALSE,2.3,1,0.6,1.88,83,72,251,1974,3,0,-1,-1,-1
1459,3,18,10,4,1,6,3,4,2,552,4017,FALSE,7.3,0.8,2.6,2.06,108,72,401,1976,11,0,1998,1,19
1460,3,0,0,0,0,0,0,0,0,99,273,FALSE,3,0.9,4.1,2.03,104,62,452,2002,1,0,2021,1,23
1462,1,0,0,0,0,0,0,0,0,60,367,FALSE,6.5,0.6,2.3,2.08,110,72,262,1998,1,0,2021,2,52
1463,1,32,21,7,4,11,13,4,6,891,12514,FALSE,14,3.4,7.4,2.11,116,62,188,1985,14,9,2007,2,48
1464,2,36,19,10,3,14,11,2,6,1226,20894,TRUE,17,3.2,9.2,2.13,113,62,188,1980,19,22,2001,1,3
1465,6,10,0,0,0,5,2,0,0,64,287,FALSE,4.5,1.4,0,1.83,73,72,469,1920,1,0,-1,-1,-1
1467,3,9,7,5,3,4,3,0,1,494,3923,FALSE,7.9,0.9,4.7,2.03,102,72,411,1964,9,0,1986,3,55
1468,5,24,10,4,3,9,12,3,2,1120,17642,FALSE,5.2,1,2.9,2.03,113,72,133,1986,16,2,2006,1,8
1469,6,0,0,0,0,0,0,0,0,14,54,FALSE,3.9,0.9,2.7,1.93,95,72,609,1927,1,0,1950,-1,-1
1472,6,4,1,3,1,1,2,1,0,101,209,FALSE,2.1,1.1,0.8,1.88,85,72,19,1973,1,0,1996,2,56
1473,0,0,1,1,0,0,0,0,0,417,2754,FALSE,6.6,1.1,3.3,1.98,102,72,5,1987,8,0,-1,-1,-1
1475,3,0,0,0,0,0,0,0,0,145,670,FALSE,4.6,0.8,2.3,2.01,98,26,452,1983,4,1,2005,2,48
1476,3,16,9,6,4,6,4,4,2,630,3536,FALSE,5.6,0.9,3.1,2.03,107,72,30,1977,12,0,1999,1,23
1477,6,20,0,10,0,7,12,0,0,506,5153,FALSE,10.2,4.3,4.2,1.91,86,72,281,1928,8,1,1953,-1,-1
1478,3,41,16,12,6,15,17,8,4,793,16361,FALSE,23.8,5.1,6.1,2.03,100,72,209,1990,12,29,2010,1,10
1479,6,5,2,5,1,2,1,0,1,177,736,FALSE,4.2,1.8,1,1.96,86,72,133,1968,4,0,1990,1,22
1480,6,0,1,0,0,0,0,0,0,47,73,FALSE,1.6,0.2,0.5,1.96,103,72,220,1994,3,0,-1,-1,-1
1481,3,6,0,1,1,3,2,0,1,280,1607,FALSE,5.7,0.8,2.6,2.03,91,72,596,1953,5,0,1975,3,50
1482,3,0,0,0,0,0,0,0,0,77,676,FALSE,8.8,0.5,2.3,2.03,91,72,560,1963,2,0,1985,4,90
1483,6,46,11,9,3,19,14,0,4,791,20708,TRUE,26.2,2.8,4.6,2.01,82,72,174,1952,10,14,1974,3,40
1484,1,0,0,0,0,0,0,0,0,16,5,FALSE,0.3,0,0,1.93,93,72,543,1920,1,0,-1,-1,-1
1485,1,14,10,6,3,6,7,0,2,541,4210,FALSE,7.8,1.5,5.9,2.08,100,72,420,1950,8,0,1972,2,20
1486,3,6,1,2,2,2,2,0,0,333,1739,FALSE,5.2,0.8,1.9,1.96,95,72,558,1948,5,0,1971,3,49
1487,6,31,6,5,4,9,12,5,2,397,3115,FALSE,7.8,2,2,1.88,91,72,557,1986,8,0,2006,2,42
1488,6,6,0,0,0,3,3,0,0,44,281,FALSE,6.4,2.9,0,1.8,79,72,625,1923,1,0,1948,-1,-1
1489,6,0,0,0,0,0,0,0,0,21,140,FALSE,6.7,1.4,1.2,1.88,84,72,371,1987,4,0,-1,-1,-1
1491,3,0,0,0,0,0,0,0,0,64,101,FALSE,1.6,0.2,1.7,2.08,93,72,490,1960,2,0,1982,2,44
1492,3,32,12,3,3,13,8,0,4,945,8256,FALSE,3.4,0.7,1.9,2.06,105,72,501,1985,13,1,2009,1,26
1493,1,0,0,0,0,0,0,0,0,32,176,FALSE,5.5,1.2,0,1.96,90,72,136,1921,1,0,-1,-1,-1
1494,6,0,0,0,0,0,0,0,0,38,73,FALSE,1.9,0.3,1.4,1.96,98,72,369,1985,3,0,2008,1,30
1495,6,0,0,0,0,0,0,0,0,130,1934,FALSE,16.6,6.2,7.9,2.03,98,3,363,2002,1,5,2021,1,6
1497,4,0,3,0,0,0,0,0,0,142,832,FALSE,5.9,1.2,3.8,2.11,109,72,163,1998,4,0,2017,1,20
1498,6,31,12,6,4,9,10,3,3,311,6556,FALSE,31.4,5.5,4.8,1.98,88,13,274,1998,4,4,2018,1,11
1499,3,0,2,0,0,0,0,0,0,129,455,FALSE,3.3,0.6,1.7,2.03,104,72,596,1992,2,0,-1,-1,-1
1500,0,7,2,2,1,2,7,1,0,187,571,FALSE,3.1,1.2,1.1,1.83,86,72,613,1978,8,0,-1,-1,-1
1501,0,30,10,6,6,12,6,1,2,966,12914,FALSE,13.4,3,4.1,1.96,98,72,251,1968,15,1,1990,1,5
1502,1,0,0,0,0,0,0,0,0,24,25,FALSE,1,0.1,1,2.13,107,72,216,1965,1,0,-1,-1,-1
1504,0,0,0,0,0,0,0,0,0,29,132,FALSE,4.6,0.5,4.6,2.06,111,72,45,1997,2,0,-1,-1,-1
1506,3,25,15,3,2,8,9,0,4,929,12700,FALSE,13.7,1.2,6.9,2.06,118,72,578,1964,12,2,1987,1,2
1507,6,25,5,9,3,12,2,0,1,578,6252,FALSE,10.8,3.8,3.8,1.91,86,72,448,1946,8,1,1969,1,8
1508,1,27,20,3,4,11,9,0,7,909,15579,TRUE,17.1,2,10.1,2.18,109,72,265,1948,12,5,1971,7,117
1509,3,0,0,0,0,0,0,0,0,27,58,FALSE,2.1,0.4,2.7,1.98,102,72,205,1947,1,0,1970,2,25
1510,3,16,0,1,0,7,6,0,0,239,1392,FALSE,5.8,1.5,4.7,1.93,102,72,607,1922,5,0,-1,-1,-1
1512,6,39,11,11,6,11,15,6,2,1057,14043,FALSE,13.3,3.8,3.5,1.98,93,2,601,1977,16,11,1999,2,57
1513,6,16,8,6,2,6,3,2,1,384,3670,FALSE,9.6,1.5,2.5,1.98,100,16,80,1977,7,1,1999,2,40
1514,3,8,0,1,0,3,2,0,0,156,1040,FALSE,6.7,0.9,2.9,1.96,93,72,274,1956,2,0,1978,1,16
1515,1,0,0,0,0,0,0,0,0,26,56,FALSE,2.2,0.2,2.2,2.11,100,72,6,1986,2,0,-1,-1,-1
1516,1,0,0,0,0,0,0,0,0,11,102,FALSE,9.3,1.7,0,1.98,102,72,380,1919,1,0,-1,-1,-1
1517,0,0,0,0,0,0,0,0,0,201,1553,FALSE,7.7,1.5,2.5,1.96,100,72,340,1967,4,0,1990,1,20
1518,6,13,4,3,2,5,4,0,0,593,4496,FALSE,7.6,1.6,1.2,1.88,79,72,502,1955,10,2,1977,2,23
1520,3,0,0,0,0,0,0,0,0,49,239,FALSE,4.9,0.7,3.3,2.03,107,10,3,1960,1,0,1985,7,148
1521,3,2,0,0,0,1,2,0,0,25,65,FALSE,2.6,0.2,1.8,2.03,95,72,625,1947,1,0,1971,1,10
1522,0,0,0,0,0,0,0,0,0,294,2407,FALSE,8.2,1.5,3.1,1.96,102,72,220,1978,6,0,1999,1,20
1523,0,0,0,0,0,0,0,0,0,13,17,FALSE,1.3,0.1,0.6,2.16,127,30,0,1981,1,1,2003,2,58
1524,1,28,13,5,3,12,12,0,7,938,10953,FALSE,11.7,1.3,6.9,2.11,113,72,163,1959,14,0,1980,1,7
1525,1,24,20,4,5,11,9,0,7,681,8531,FALSE,13.4,1.2,11.6,2.16,117,26,115,1992,9,15,2013,1,27
1526,3,0,0,0,0,0,0,0,0,11,13,FALSE,1.2,0,0.2,2.08,113,72,187,1967,2,0,-1,-1,-1
1527,6,31,0,11,0,12,9,0,0,698,7871,TRUE,11.3,4.2,8,1.98,93,72,281,1933,10,2,1955,-1,-1
1529,0,0,0,0,0,0,0,0,0,266,1667,FALSE,6.3,2.8,1.3,1.88,83,72,241,1971,8,0,1994,2,52
1530,0,0,0,0,0,0,0,0,0,487,4926,FALSE,10.1,1.5,4.6,2.01,111,72,446,1982,8,1,2005,2,50
1531,3,10,7,5,2,4,2,0,1,435,2544,FALSE,5.8,1.4,4.5,1.98,99,72,578,1955,6,0,1977,2,26
1532,6,0,0,0,0,0,0,0,0,91,454,FALSE,5,1.3,1.6,1.96,93,72,429,1963,2,0,1986,4,77
1533,3,24,17,4,2,11,8,3,3,790,8653,FALSE,11,1.1,7.1,2.08,113,72,271,1981,15,3,2002,1,4
1534,6,44,0,12,2,19,17,0,1,1031,19181,TRUE,18.6,4.7,3.2,1.85,77,72,577,1943,14,2,1965,-1,-1
1535,1,0,0,0,0,0,0,0,0,21,24,FALSE,1.1,0.5,1.2,2.08,100,72,444,1976,3,0,-1,-1,-1
1536,6,0,0,0,0,0,0,0,0,165,1040,FALSE,6.3,1.2,2,1.96,93,72,274,1994,5,0,2013,1,29
1537,6,0,0,0,0,0,0,0,0,133,628,FALSE,4.7,1.9,1.6,1.83,82,72,198,1995,5,0,-1,-1,-1
1538,6,0,0,0,0,0,0,0,0,64,407,FALSE,6.6,2.7,3.3,1.91,91,72,518,1998,1,0,-1,-1,-1
1539,3,0,0,0,0,0,0,0,0,79,347,FALSE,4.4,0.3,0,1.88,92,72,509,1920,2,0,-1,-1,-1
1540,3,25,12,7,3,10,10,3,2,596,7996,FALSE,16.3,3,6.6,2.03,107,72,19,1995,8,0,2014,1,4
1541,6,42,7,11,3,14,15,6,2,744,11084,FALSE,14.9,2.5,2.5,1.91,93,72,133,1983,12,9,2004,1,3
1543,6,30,8,6,2,12,9,7,3,818,13119,FALSE,12.4,2.7,1.9,1.91,98,72,256,1988,14,3,2008,1,7
1544,6,0,0,0,0,0,0,0,0,201,1125,FALSE,5.6,1.5,1.3,1.91,84,72,304,1962,4,0,1984,1,8
1546,0,31,18,5,4,13,5,0,5,806,7951,FALSE,9.9,1.1,7.9,2.11,109,50,453,1984,12,1,2005,2,57
1547,6,10,0,0,0,5,3,0,0,84,465,FALSE,5.5,0.4,0,1.8,82,72,150,1920,2,0,-1,-1,-1
1548,6,20,4,1,3,8,2,2,0,49,197,FALSE,4,0.5,0.7,1.91,91,72,127,1988,4,0,2011,2,46
1549,6,0,0,0,0,0,0,0,0,23,75,FALSE,3.3,1,0.8,1.8,84,72,148,1928,1,0,1951,3,24
1550,3,29,0,8,0,14,6,0,0,845,9280,FALSE,11,1.8,8.1,2.03,88,72,574,1930,13,0,-1,-1,-1
1552,6,12,5,2,1,3,3,3,1,313,3619,FALSE,7.4,2.7,1.7,1.85,88,72,271,1995,4,0,2018,2,34
1553,0,7,3,2,1,2,2,1,0,207,938,FALSE,4.5,1,1.1,1.93,79,72,256,1970,5,0,1993,1,17
1554,3,21,10,1,2,9,2,1,1,377,2239,FALSE,5.9,0.5,2.8,2.01,104,72,410,1982,7,0,2005,1,16
1555,6,3,0,1,0,1,1,0,0,70,327,FALSE,4.7,1.1,1.7,1.85,84,72,374,1945,2,0,1967,1,11
1557,6,4,2,2,2,2,0,0,0,179,1499,FALSE,8.4,2,2.4,1.98,91,72,404,1967,3,0,-1,-1,-1
1558,7,0,0,1,1,0,0,0,0,239,966,FALSE,4,0.5,1.8,1.98,98,72,410,1982,7,0,-1,-1,-1
1559,7,5,3,1,2,2,2,0,1,180,757,FALSE,4.2,0.8,2.2,1.96,99,72,597,1993,5,0,-1,-1,-1
1560,1,0,0,0,0,0,0,0,0,26,79,FALSE,3,0.3,1.9,2.13,107,72,493,1960,1,0,1984,4,76
1561,3,0,0,0,0,0,0,0,0,105,254,FALSE,2.4,0.6,1.6,1.98,100,72,373,1964,4,0,1987,5,100
1562,5,26,12,4,3,10,6,5,2,586,9855,FALSE,16.8,1.9,4.9,2.06,101,72,369,1983,11,3,2005,1,17
1563,6,0,0,0,0,0,0,0,0,80,316,FALSE,4,2.2,1,1.91,86,72,595,1961,3,0,1983,1,24
1564,4,23,16,3,2,10,9,0,3,756,7933,FALSE,10.5,1.2,7.4,2.06,115,72,648,1972,13,3,1994,1,8
1565,3,12,0,2,0,6,2,0,0,96,249,FALSE,2.6,0.9,1.9,1.91,88,72,338,1927,2,0,1950,-1,-1
1567,6,9,3,3,1,4,2,1,0,274,767,FALSE,2.8,2.7,0.9,1.7,64,72,128,1966,6,0,1989,2,52
1568,3,21,7,4,1,7,6,3,2,783,7781,FALSE,9.9,1.6,4.4,2.06,102,72,407,1965,11,0,1988,1,12
1569,1,29,20,7,6,14,8,1,5,1165,12996,FALSE,11.2,2.2,8.1,2.08,111,72,122,1965,18,4,1987,1,10
1570,3,26,9,3,3,7,10,4,4,618,7619,FALSE,20.5,2.4,4.5,2.03,95,72,539,1994,8,0,2014,2,39
1571,6,6,4,4,1,2,2,1,0,279,1692,FALSE,6.1,2.9,1.9,1.93,90,72,401,1992,6,0,2015,1,19
1572,3,0,0,0,0,0,0,0,0,53,157,FALSE,3,0.5,1.7,2.06,101,72,583,1967,1,0,1993,2,43
1573,0,0,0,0,0,0,0,0,0,16,29,FALSE,1.8,0.2,1.1,2.13,111,72,637,1974,2,0,1997,1,20
1574,3,6,0,0,0,3,0,0,0,36,128,FALSE,3.6,0.2,1.5,2.01,98,72,275,1950,2,0,1972,1,13
1579,1,12,8,1,1,5,2,0,1,318,1066,FALSE,3.4,0.7,3.7,2.13,122,72,437,1984,7,0,2007,2,49
